0,1,2,3,4,5,6
L,,,,DENLY,,0
R,,,,,,0
R,,,,Jayde,,0
R,,,,,,0
L,,,,DENLY,,0
L,121,2,,DENLY,,0
L,123,2,,DENLY,,0
R,,,,IV,,0
R,,,,DENLY,,0
R,,,,,,0
L,130,2,,DENLY,,0
R,,,,DENLY,,0
L,,,,DENLY,,0
R,,,,,,0
R,,,,,,0
L,135,2,,DENLY,,0
L,135,2,,DENLY,,0
R,,,,,,0
L,135,2,,DENLY,,0
R,,,,,,0
L,,,,DENLY,,0
L,136,2,,DENLY,,0
R,,,,,,0
L,138,2,,DENLY,,0
L,142,2,,DENLY,ae,0
L,,,,ae,,0
L,146,2,,,,0
L,146,2,,cee,,0
L,147,2,,DENLY,,0
L,147,2,,DENLY,,0
L,149,2,,DENLY,Sd,0
R,,,,Det,of,0
R,,,,,,0
L,149,2,,ae,,0
L,,,,DENLY,,0
L,,,,DENLY,sy,0
L,151,2,,RA,,0
R,,,,,,0
R,151,2,,DENLY,,0
L,,,,DENLY,,0
L,,,36,,,0
L,154,2,,DENLY,,0
R,154,2,,DENLY,,0
R,154,3,,DENLY,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
L,,,,IV,,0
L,154,3,,ae,HENRIQUES,0
L,154,3,,DENLY,,0
L,154,3,,DENLY,wae,0
R,,,,,,0
R,,,,,,0
L,154,3,,DENLY,ae,0
L,,,,DENLY,ap,0
L,156,3,,,,0
L,,,17,,,0
L,158,3,,DENLY,ae,0
L,,,,DENLY,,0
L,,,,Raed,,0
L,,,,Raed,,0
L,159,3,,Rae,,0
L,159,3,,DENLY,,0
L,,,,DENLY,,0
L,,,,DENLY,,0
L,159,3,,DENLY,,0
R,,,,,,0
R,,,,,,0
L,159,3,,Rae,,0
L,,,,Le,,0
R,,,,DENLY,,0
L,161,3,,DENLY,,0
L,,,,DENLY,,0
R,,,,,,0
L,167,3,,,,0
L,,,34,DENLY,,0
R,,,,,,0
L,171,3,,DENLY,,0
R,,,,,,0
L,,,,DENLY,,0
L,173,3,,DENLY,,0
L,,,,DENLY,,0
R,174,3,,DENLY,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
L,175,3,,DENLY,,0
L,,,,DENLY,,0
L,,,,DENLY,,0
R,,,,,,0
R,,,,,,0
R,176,4,,DENLY,,0
R,,,,DENLY,,0
R,,,,,,0
R,,,,Sari,,0
L,,,,DENLY,,0
R,,,,DENLY,,0
R,,,,DENLY,Nir,0
R,,,29,DENLY,a,0
R,,,,DENLY,BRATHWAITE,2
R,,,,,,0
L,181,4,,DENLY,,0
L,181,4,,DENLY,,0
L,,,,DENLY,BRATHWAITE,2
R,,,,,,0
R,,,,,,0
R,,,,,,0
L,186,4,,DENLY,ae,0
R,,,,,,0
L,,,,DENLY,,0
R,,,,,,0
L,,,,VIN,,0
L,186,5,,DENLY,,0
L,186,5,,DENLY,,0
L,186,5,,DENLY,,0
R,,,,SIAE,OF,0
R,,,,SIAE,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,ae,0
